"country","country.code","super.region","region","sex","age","pop","alcohol.use","drug.use","high.meat","low.exercise","smoking"
"American Samoa","ASM","Southeast Asia, East Asia, and Oceania","Oceania","male","70+ years",443.883522,79.129304504,11.172080121,13.933265291,448.17738235,1170.48965767
"American Samoa","ASM","Southeast Asia, East Asia, and Oceania","Oceania","female","5-14 years",10935.29004,0.08604825439,0.001283408402,NA,NA,NA
"American Samoa","ASM","Southeast Asia, East Asia, and Oceania","Oceania","female","15-49 years",19763.63489,3.524655403,0.6527509413,0.511017879,7.356607239,22.124836687
"Federated States of Micronesia","FSM","Southeast Asia, East Asia, and Oceania","Oceania","male","Under 5",6268.693226,0.04921688515,0.02065670941,NA,NA,NA
"Federated States of Micronesia","FSM","Southeast Asia, East Asia, and Oceania","Oceania","female","70+ years",1439,50.962966634,4.843446368,4.685541353,534.94409658,441.660173237
"Federated States of Micronesia","FSM","Southeast Asia, East Asia, and Oceania","Oceania","male","50-69 years",6376,40.873873513,7.651209307,3.840251884,221.022544429,537.104252726
"Federated States of Micronesia","FSM","Southeast Asia, East Asia, and Oceania","Oceania","male","70+ years",1063,83.65122485,11.657034338,5.746342504,626.829685643,1303.522195667
"Federated States of Micronesia","FSM","Southeast Asia, East Asia, and Oceania","Oceania","female","5-14 years",11578,0.08167696137,0.01669710912,NA,NA,NA
"Federated States of Micronesia","FSM","Southeast Asia, East Asia, and Oceania","Oceania","female","15-49 years",25829,3.268076034,0.9291355127,0.1807672106,6.171541463,11.723688658
"Federated States of Micronesia","FSM","Southeast Asia, East Asia, and Oceania","Oceania","female","50-69 years",6517,11.3285525,2.172912536,2.893588862,111.711979844,138.135196175
"Federated States of Micronesia","FSM","Southeast Asia, East Asia, and Oceania","Oceania","male","5-14 years",12440,0.1724232106,0.01469075528,NA,NA,NA
